"Atlanta, GA (ATL)",KATL,,,
"Baltimore, MD (BWI)",KBWI,,,
"Boston, MA (BOS)",KBOS,,,
"Charlotte, NC (CLT)",KCLT,,,
"Chicago, IL (MDW)",KMDW,,,
"Chicago, IL (ORD)",KORD,,,
"Dallas/Fort Worth, TX (DFW)",KDFW,,,
"Denver, CO (DEN)",KDEN,,,
"Detroit, MI (DTW)",KDTW,,,
"Fort Lauderdale, FL (FLL)",KFLL,,,
"Honolulu, HI, (HNL)",KHNL,,,
"Houston, TX (IAH)",KIAH,,,
"Las Vegas, NV (LAS)",KLAS,,,
"Los Angeles, CA (LAX)",KLAX,,,
"Miami, FL (MIA)",KMIA,,,
"Minneapolis/St. Paul, MN (MSP)",KMSP,,,
"New York, NY (JFK)",KJFK,,,
"New York, NY (LGA)",KLGA,,,
"Newark, NJ (EWR)",KEWR,,,
"Orlando, FL (MCO)",KMCO,,,
"Philadelphia, PA (PHL)",KPHL,,,
"Phoenix, AZ (PHX)",KPHX,,,
"Portland, OR (PDX)",kPDX,,,
"Salt Lake City, UT (SLC)",KSCL,,,
"San Diego, CA (SAN)",KSAN,,,
"San Francisco, CA (SFO)",KSFO,,,
"Seattle, WA (SEA)",KSEA,,,
"Tampa, FL (TPA)",KTPA,,,
"Washington, DC (DCA)",KDCA,,,
"Washington, DC (IAD)",KIAD,,,
